TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
49309,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',1800 San Jose Ave,1,Sidewalk: Curb side : Cutout,Private,2/20/03 0:00,7,,37.7288412,-122.4403
89671,DPW Maintained,Laurus nobilis :: Sweet Bay: Grecian Laurel,2643 Anza St,2,Sidewalk: Curb side : Cutout,DPW,2/29/08 0:00,3,3x3,37.77845143,-122.476792
256900,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,2051 34th Ave,,Sidewalk: Curb side : Cutout,Private,12/31/18 0:00,3,3x3,37.74884719,-122.4922883
61567,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1109 Wisconsin St,1,Sidewalk: Curb side : Cutout,Private,8/23/84 0:00,12,,37.75334649,-122.3984591
89054,DPW Maintained,Laurus nobilis :: Sweet Bay: Grecian Laurel,788 18th Ave,1,Sidewalk: Curb side : Cutout,DPW,3/3/08 0:00,3,3x3,37.77324845,-122.4766408
36188,DPW Maintained,Dodonaea viscosa :: Hop Bush,35 Parker Ave,1,Sidewalk: Curb side : Cutout,Private,5/4/98 0:00,7,,37.78546271,-122.4548119
87652,DPW Maintained,Lophostemon confertus :: Brisbane Box,2158 Bay Shore Blvd,2,Sidewalk: Curb side : Cutout,Private,10/19/10 0:00,3,,37.7126814,-122.4013562
47422,DPW Maintained,Prunus cerasifera :: Cherry Plum,882 36th Ave,1,Sidewalk: Curb side : Cutout,Private,5/14/02 0:00,3,,37.77241192,-122.4959202
89024,DPW Maintained,Ulmus parvifolia :: Chinese Elm,2724 Pacific Ave,2,Sidewalk: Curb side : Cutout,Private,10/1/08 0:00,4,4x4,37.79263422,-122.4408245
47839,DPW Maintained,Yucca gloriosa :: Spanish Dagger,4400 Cabrillo St,1,Sidewalk: Curb side : Cutout,Private,6/14/02 0:00,8,,37.77352797,-122.5059332
21909,DPW Maintained,Lophostemon confertus :: Brisbane Box,2177 03rd St,6,Sidewalk: Curb side : Cutout,Private,2/8/95 0:00,3,3X3,37.76220427,-122.38855
